"FID","id","NRScode","Station","Latitude","Longitude","Date","Year","Month","Day","Time_24hr","SST_C","ChlorophyllMonthlyClimatology_mg_m3","ChlorophyllSatellite_mg_m3","ZoopAbundance_m3","CopepodAbundance_m3","AvgTotalLengthCopepod_mm","HerbivoreCarnivoreCopepodRatio","NoCopepodSpecies_Sample","ShannonCopepodDiversity","CopepodEvenness","ZooBiomass_mgCarbon_m3","Salinity_psu","Silicate_umol_L","Nitrate_umol_L","Ammonium_umol_L","Phosphate_umol_L","TotalCarbon_umol_kg","TotalAlkalinity_umol_kg","Oxygen_umol_L","PhytoBiomass_Carbon_pg_L","AbundancePhyto_cells_L","DiatomDinoflagellateRatio","AvgCellVolume_um3","NoPhytoSpecies_Sample","ShannonPhytoDiversity","PhytoEvenness","NoDiatomSpecies_Sample","ShannonDiatomDiversity","DiatomEvenness","NoDinoSpecies_Sample","ShannonDinoDiversity","DinoflagellateEvenness","geom","GSLA","GSL","UCUR","VCUR","U_shore","V_shore"
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f5f",721,"PHB20170921","Port Hacking",-34.1192,151.2267,2017-09-21 08:48:00,2017,9,21,08:48:00,18.2346,1.4645,0.5933,783.2951,350.0958,0.7692,0.981,29,159.2454,47.2918,5.4056,35.57,-999,-999,-999,-999,2086.04,2333.49,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"POINT (151.22667 -34.11923)",0.0292982161659011,2.09741656875162,-0.199288907878473,-0.36454915843926,-0.0337839756112417,-0.251974126386886
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f5e",726,"PHB20170821","Port Hacking",-34.1192,151.2267,2017-08-21 10:55:00,2017,8,21,10:55:00,18.8591,0.6402,0.2833,2333.969,1492.3257,0.664,0.967,41,210.0379,56.5595,4.3799,35.63,1.83,3.65,0.31,0.37,2077.6699,2336.46,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"POINT (151.22667 -34.11923)",0.193948087223231,2.26206643980895,-0.226450795782278,-0.462515068743992,-0.0187512694335479,-0.330422703644002
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f5d",732,"PHB20170716","Port Hacking",-34.1192,151.2267,2017-07-17 09:42:00,2017,7,17,09:42:00,19.7652,0.6205,0.3831,1721.0092,1225.9241,0.63,0.959,39,274.4514,74.9138,1.8507,35.65,1.47,2.63,0.33,0.26,2061.3101,2335.76,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"POINT (151.22667 -34.11923)",0.0895731921322082,2.15769154471793,-0.207529031175133,-0.341965116811377,-0.050497460098129,-0.227991017654309
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f5c",738,"PHB20170614","Port Hacking",-34.1192,151.2267,2017-06-15 10:17:00,2017,6,15,10:17:00,19.8845,0.6187,0.4199,3755.5686,2970.5063,0.6278,0.958,49,255.7645,65.7185,1.9428,35.72,0.85,1.02,0.24,0.15,2053.6799,2339.97,-999,11056819,180102,0.153,4079818,40,46.6892,12.6567,16,98.1049,35.3839,10,7.928,3.4431,"POINT (151.22667 -34.11923)",0.12863748035341,2.19675583293913,-0.12451741870508,-0.196847389864648,-0.0336872757036272,-0.129183241971084
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f5b",743,"PHB20170517","Port Hacking",-34.1192,151.2267,2017-05-18 10:57:00,2017,5,18,10:57:00,21.3181,0.6299,0.3552,1570.1246,1195.275,0.79,0.933,36,176.6066,49.283,1.679,35.75,1.18,1.66,0.08,0.19,2059.03,2341.1699,-999,1721310.125,57125,0.005,333244.6875,6,4.3668,2.4372,1,1,1,3,0.7017,0.6388,"POINT (151.22667 -34.11923)",0.168617337829796,2.23673569041552,-0.0505089039110067,0.024415180138251,-0.0560727281479299,0.042848198935026
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f5a",749,"PHB20170419","Port Hacking",-34.1192,151.2267,2017-04-19 11:45:00,2017,4,19,11:45:00,23.5273,0.5944,0.6502,1513.5431,1152.839,0.7461,0.928,38,208.9671,57.4466,2.921,35.62,1.64,2.76,0.42,0.25,2058.3401,2331.6001,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"POINT (151.22667 -34.11923)",0.15564677338135,2.22376512596707,-0.155036393877894,-0.24567775014115,-0.0417066500256122,-0.16137881028483
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f59",755,"PHB20170321","Port Hacking",-34.1192,151.2267,2017-03-22 10:38:00,2017,3,22,10:38:00,23.7754,0.4113,0.46,2715.8909,1994.4824,0.7652,0.957,46,205.0222,53.5496,2.043,35.39,2.65,5.8,0.22,0.47,2084.75,2322.1001,-999,2296428.25,126120,0.511,74175,17,17.2572,6.091,10,20.2407,8.7904,1,1,1,"POINT (151.22667 -34.11923)",0.0520348526696474,2.12030580013123,-0.00564601040697053,0.0439473242488517,-0.0230328742982324,0.0424443177627872
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f58",761,"PHB20170205","Port Hacking",-34.1192,151.2267,2017-02-06 10:55:00,2017,2,6,10:55:00,24.1514,0.4683,0.7149,2517.8579,1746.9408,0.5579,0.998,34,171.5226,48.6401,2.8376,35.57,1.84,4.13,0.08,0.34,2078.4299,2331.74,-999,3261286.5,120424,0.103,979688.3125,18,17.9152,6.1982,7,29.9038,15.3675,5,3.8308,2.3802,"POINT (151.22667 -34.11923)",0.121007736560206,2.18927868402179,-0.23514870370653,-0.495780751682359,-0.0131668315007665,-0.357274659316833
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f57",770,"PHB20161204","Port Hacking",-34.1192,151.2267,2016-12-05 09:50:00,2016,12,5,09:50:00,21.4612,0.4333,0.2671,1319.0479,574.6524,0.5386,0.996,36,258.8108,72.2225,5.4458,35.51,1.83,4.35,0.2,0.41,2087.54,2329.01,-999,27660794,133660,0.766,66458080,27,33.1631,10.0621,12,12.8007,5.1514,9,10.689,4.8648,"POINT (151.22667 -34.11923)",0.00442525140005799,2.07254360398578,-0.175941891871271,-0.279859002334702,-0.0469020049838862,-0.184101905887131
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f56",777,"PHB20161030","Port Hacking",-34.1192,151.2267,2016-10-31 09:35:00,2016,10,31,09:35:00,20.1847,0.6616,0.4188,2448.9001,574.6519,0.5384,0.987,29,212.0505,62.9735,2.8513,35.52,1.84,4.39,0.55,0.39,2082.3799,2328.95,-999,14734761,236406,0.997,882660,12,15.7618,6.343,7,9.9398,5.108,1,1,1,"POINT (151.22667 -34.11923)",0.0982711000564601,2.16654204751804,-0.0509666885385989,-0.0425739703660751,-0.0292439930164162,-0.0181632374368591
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f55",783,"PHB20160926","Port Hacking",-34.1192,151.2267,2016-09-27 10:23:00,2016,9,27,10:23:00,20.5868,1.0352,0.4021,2341.0417,1053.8223,0.6469,0.996,35,194.8569,54.8067,3.425,35.6,1.29,2.37,0.66,0.29,2068.1201,2330.0701,-999,7871858.5,113360,0.466,4696633,38,46.8678,12.8843,20,96.3938,32.1771,6,10.6202,5.9272,"POINT (151.22667 -34.11923)",0.0546289655593365,2.12274731814506,-0.112920208139411,-0.202188210519891,-0.0209203892054521,-0.138779334915288
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f54",788,"PHB20160829","Port Hacking",-34.1192,151.2267,2016-08-30 10:44:00,2016,8,30,10:44:00,18.0561,1.2361,0.2699,3087.2046,1955.5831,0.5682,0.976,49,217.4044,55.8619,3.0089,35.58,1.38,3.38,0.28,0.35,-999,-999,-999,5438742,245055,0.012,930746,19,17.942,6.0935,4,25.3114,18.2583,4,2.7801,2.0055,"POINT (151.22667 -34.11923)",0.0613431400973555,2.12946149268308,-0.0798071200769078,-0.0827064227183251,-0.0392676992965371,-0.0430955966785659
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f53",796,"PHB20160719","Port Hacking",-34.1192,151.2267,2016-07-19 10:30:00,2016,7,19,10:30:00,19.51,0.6156,0.3932,1510.0073,1287.2195,0.5688,0.987,40,160.2402,43.4387,1.9679,35.65,1.51,2.61,0.65,0.32,-999,-999,-999,7899013.5,132675,0.506,3244701,41,48.1834,12.9749,25,103.3983,32.1225,7,13.136,6.7506,"POINT (151.22667 -34.11923)",0.176857461126455,2.24497581371218,-0.0993392641875086,-0.17777303038164,-0.0184441279572164,-0.12199882555526
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f52",801,"PHB20160615","Port Hacking",-34.1192,151.2267,2016-06-15 11:06:00,2016,6,15,11:06:00,21.41,0.6003,0.6443,1333.1914,1032.6045,0.6843,0.976,32,110.6814,31.9359,1.1934,35.66,1.46,3.12,0.6,0.29,2070,2333.0601,-999,12125641,156480,0.698,776046,30,24.1264,7.0935,18,70.2949,24.3204,5,17.7447,11.0254,"POINT (151.22667 -34.11923)",0.205240108037172,2.27335846062289,-0.272839638044954,-0.493339233668533,-0.0485922682008924,-0.339713937518349
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f51",809,"PHB20160502","Port Hacking",-34.1192,151.2267,2016-05-03 09:27:00,2016,5,3,09:27:00,21.53,0.5944,1.3789,2171.2991,1863.6393,0.7097,0.976,40,126.403,34.266,1.2353,35.58,1.96,4.27,0.07,0.36,2076.04,2329.4099,-999,2827139.5,114600,0.236,42823,19,24.9587,8.4766,10,34.6317,15.0403,2,0.3462,0.4994,"POINT (151.22667 -34.11923)",0.0621061144766759,2.1302244670624,0.0730929455388888,0.225993011154685,-0.0251459103328787,0.176725309498327
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f50",814,"PHB20160407","Port Hacking",-34.1192,151.2267,2016-04-08 09:30:00,2016,4,8,09:30:00,23.22,0.4113,0.1901,2045.1716,1597.2377,0.5675,0.972,43,187.5707,49.8699,1.9883,-999,0.98,2.01,0.17,0.22,2053.27,2334.03,-999,19273828,252545,0.843,887382.8125,25,51.3974,15.9675,11,27.1445,11.3202,4,6.7891,4.8973,"POINT (151.22667 -34.11923)",0.210275738940686,2.27839409152641,-0.0103764515587567,0.12451741870508,-0.0601251570765187,0.117972805329455
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f4f",820,"PHB20160229","Port Hacking",-34.1192,151.2267,2016-03-01 09:47:00,2016,3,1,09:47:00,25.82,0.5684,0.431,2751.2549,1269.5378,0.6368,0.965,34,140.6227,39.8776,3.5988,35.37,1.72,4.4,0.09,0.4,2061.8401,2316.9399,-999,8771502,131375,0.747,2539675.5,18,22.346,7.7312,8,25.6941,12.3562,5,14.7399,9.1584,"POINT (151.22667 -34.11923)",0.113988372270459,2.18210672485618,-0.310683167259243,-0.604580898173439,-0.0379179912248814,-0.425945904792647
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f4e",825,"PHB20160201","Port Hacking",-34.1192,151.2267,2016-02-02 10:52:00,2016,2,2,10:52:00,24.25,0.4683,0.3946,1690.3593,1481.7167,0.5895,0.966,50,220.6349,56.3992,2.4349,35.36,2.4,4.33,0.27,0.41,2077,2319.25,-999,5183883,118558,0.087,867097.125,21,17.3665,5.7042,6,29.3164,16.3618,8,5.9092,2.8417,"POINT (151.22667 -34.11923)",0.0149542978346787,2.0830726504204,-0.0277722674072605,0.0953717974150428,-0.0641624334630382,0.0984224711315553
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f4d",837,"PHB20151115","Port Hacking",-34.1192,151.2267,2015-11-16 09:48:00,2015,11,16,09:48:00,19.95,0.4333,0.6019,2328.666,1044.9825,0.5539,0.986,37,195.7319,54.2056,2.6037,35.4,1.4,4.4,0.19,0.39,2078.6799,2320.46,-999,245664176,366498,0.94,1053130,23,43.8003,13.9692,15,35.1046,12.9631,3,19.6472,17.8837,"POINT (151.22667 -34.11923)",-0.0431843498695314,2.02493400271619,-0.00259411288968916,0.00427265652419392,-0.00410768601865421,0.00495838672825621
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f4c",842,"PHB20151013","Port Hacking",-34.1192,151.2267,2015-10-14 10:05:00,2015,10,14,10:05:00,20.7,1.0352,0.2177,1923.7566,1350.8734,0.526,0.989,27,161.3281,48.9491,1.224,35.59,1.36,3.37,0.08,0.34,2070.8501,2332.79,-999,3079386,123050,0.292,359660,24,18.6297,5.862,11,43.8424,18.2837,5,5.4604,3.3927,"POINT (151.22667 -34.11923)",0.0596645964628508,2.12778294904857,-0.11139425938077,-0.134436085636244,-0.0470836374848273,-0.0775053482577934
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f4b",850,"PHB20150819","Port Hacking",-34.1192,151.2267,2015-08-19 10:20:00,2015,8,19,10:20:00,18.74,1.2361,0.4149,1149.3044,574.6524,0.492,0.989,27,138.0499,41.8862,1.5631,35.58,1.45,3.36,0.45,0.37,2076.5701,2332.1499,-999,23629534,139655,0.499,1205604.25,29,42.7038,12.6819,17,63.0036,22.2375,4,8.598,6.2022,"POINT (151.22667 -34.11923)",0.00427265652419392,2.07239100910991,-0.0567652938214335,-0.10315413608411,-0.00990110929208286,-0.0711474674045444
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f4a",858,"PHB20150723","Port Hacking",-34.1192,151.2267,2015-07-23 10:33:00,2015,7,23,10:33:00,18.27,0.6156,0.5625,1504.74,1057.2874,0.5246,0.984,32,127.0502,36.659,1.1555,35.57,1.64,3.36,0.46,0.36,2073.77,2330.78,-999,24530296,235022,0.037,65748848,26,23.4646,7.2019,8,42.8806,20.6212,8,4.3524,2.0931,"POINT (151.22667 -34.11923)",-0.0517296629179192,2.0163886896678,0.0210580928692415,0.131536782994827,-0.0342633044689944,0.111599732614631
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f49",860,"PHB20150630","Port Hacking",-34.1192,151.2267,2015-06-30 11:25:00,2015,6,30,11:25:00,19.41,0.6314,0.4233,1333.1917,1184.6663,0.5769,0.98,39,174.2675,47.5678,0.9365,35.54,1.29,4.43,0.16,0.4,2075.1699,2329.6299,-999,6950905.5,273698,0.183,2567585,32,25.3619,7.3179,19,85.3595,28.9901,2,0.9183,1.3248,"POINT (151.22667 -34.11923)",0.149542978346787,2.21766133093251,-0.0984236949323242,-0.193795492347367,-0.0110907914292358,-0.137008468469658
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f48",867,"PHB20150518","Port Hacking",-34.1192,151.2267,2015-05-19 10:07:00,2015,5,19,10:07:00,20.84,0.6003,0.517,2337.5056,1976.8016,0.5783,0.959,40,202.6483,54.9349,1.5302,35.38,1.72,2.14,0.3,0.2,2043.9301,2319.3501,-999,16952436,368859,0.536,1876089.125,47,54.6803,14.2021,26,135.4781,41.582,10,38.5492,16.7417,"POINT (151.22667 -34.11923)",0.200357072009522,2.26847542459524,-0.221109975127035,-0.453359376192147,-0.0175961426374386,-0.324230869766275
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f47",874,"PHB20150330","Port Hacking",-34.1192,151.2267,2015-03-31 10:32:00,2015,3,31,10:32:00,23.11,0.4113,0.2556,1888.3931,1573.6609,0.5428,0.958,42,189.4309,50.6815,1.5444,35.58,0.51,1.29,0.91,0.22,2032.58,2331.6299,-999,22099352,308435,0.844,2432641,51,70.0709,17.8215,32,152.4704,43.9937,7,35.0638,18.0192,"POINT (151.22667 -34.11923)",0.164497276181466,2.23261562876719,0.0126653746967177,0.113377992767003,-0.0345445886531951,0.098424478301491
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f46",881,"PHB20150225","Port Hacking",-34.1192,151.2267,2015-02-26 10:27:00,2015,2,26,10:27:00,23.38,0.5684,0.2293,2369.332,1746.9403,0.5436,0.973,54,233.2513,58.4739,2.3209,35.45,1.67,3.38,0.17,0.36,-999,-999,-999,8599185,165315,0.548,833734,30,34.9326,10.2707,11,37.2543,15.5363,13,26.713,10.4146,"POINT (151.22667 -34.11923)",-0.024567775014115,2.0435505775716,-0.135504249767293,-0.160682404284864,-0.0584338701460046,-0.0916761368846761
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f45",888,"PHB20150121","Port Hacking",-34.1192,151.2267,2015-01-22 10:49:00,2015,1,22,10:49:00,23.28,0.4683,0.6841,2146.5439,912.3691,0.6406,0.996,36,208.2511,58.1136,1.4621,35.37,1.46,4.68,0.25,0.43,2083.3601,2322.05,-999,58074516,364821,0.852,470893.5,26,51.5878,15.8337,15,35.7531,13.2025,6,37.1576,20.738,"POINT (151.22667 -34.11923)",-0.0479147910213175,2.0202035615644,-0.121007736560206,-0.209207574809638,-0.0254536813900875,-0.14190234911707
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f44",893,"PHB20141208","Port Hacking",-34.1192,151.2267,2014-12-09 10:51:00,2014,12,9,10:51:00,21.59,0.4333,1.2276,1630.3337,790.6847,0.48,0.991,37,258.6148,71.6202,0.9364,35.47,1.67,3.14,0.23,0.33,2072.71,2326.1599,-999,204421584,266073,0.901,65783068,25,45.6085,14.1691,13,37.4397,14.5966,5,13.5667,8.4295,"POINT (151.22667 -34.11923)",-0.0294508110417652,2.03882013641982,-0.0909465460149848,-0.0764500328078983,-0.0519887742929538,-0.0328492873828096
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f43",901,"PHB20141112","Port Hacking",-34.1192,151.2267,2014-11-13 10:30:00,2014,11,13,10:30:00,20.32,0.6616,0.2646,3109.0881,1845.348,0.5317,0.986,37,184.9031,51.2067,1.8075,35.56,1.09,2.6,0.3,0.27,2069.9099,2331.9099,-999,67079660,237417,0.732,66259456,18,28.4943,9.8583,11,21.7114,9.0543,3,1.0468,0.9528,"POINT (151.22667 -34.11923)",-0.013275754200174,2.05484259838555,-0.0320449239314544,0.0209054979933774,-0.037777526773737,0.0321319675191055
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f42",905,"PHB20141021","Port Hacking",-34.1192,151.2267,2014-10-22 11:08:00,2014,10,22,11:08:00,19.68,0.6616,0.935,5856.1426,2167.7629,0.5132,0.982,33,171.317,48.9966,2.5649,35.49,0.56,1.68,1.25,0.22,2061.8301,2328.8799,-999,77466312,269320,0.476,68443456,38,58.5174,16.0869,16,72.1415,26.0196,11,17.3456,7.2337,"POINT (151.22667 -34.11923)",-0.0276196725313964,2.04049868005432,-0.251934140051577,-0.483267971861505,-0.0335904966882143,-0.339016414117463
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f41",912,"PHB20140911","Port Hacking",-34.1192,151.2267,2014-09-11 11:25:00,2014,9,11,11:25:00,18.35,1.2361,1.744,10291.4062,636.8977,0.617,0.992,38,241.7451,66.4576,9.2708,35.4,0.96,1.31,0.55,0.27,2049.05,2323.5801,-999,185141440,215596,0.277,65818480,20,21.3742,7.1349,7,22.0434,11.3281,7,18.3962,9.4538,"POINT (151.22667 -34.11923)",0.0254833442692994,2.09360169685502,-0.0762974379320342,-0.0650054171180932,-0.0432610927122228,-0.0283524397506368
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f40",917,"PHB20140824","Port Hacking",-34.1192,151.2267,2014-08-25 10:52:00,2014,8,25,10:52:00,18.89,1.2361,0.6603,1835.9392,921.8004,0.5337,0.989,35,267.0238,75.1048,1.6268,35.5,1.04,1.61,0.86,0.31,2057.76,2328.8301,-999,7387565.5,239286,0.021,404013.8125,22,27.4283,8.8735,6,36.8202,20.5497,7,5.6417,2.8993,"POINT (151.22667 -34.11923)",0.026704103276212,2.09482245586193,-0.156867532388262,-0.226298200906414,-0.051261851094133,-0.142929919979561
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f3f",924,"PHB20140716","Port Hacking",-34.1192,151.2267,2014-07-16 11:02:00,2014,7,16,11:02:00,17.89,0.6314,0.2312,2772.4724,2341.042,0.5216,0.987,37,165.4625,45.8228,1.6415,35.65,0.83,2.23,0.2,0.22,2061.3799,2335.6699,-999,4385069.5,123044,0.019,1059554.25,27,30.3657,9.2133,8,53.271,25.618,10,6.7311,2.9233,"POINT (151.22667 -34.11923)",0.137030198525934,2.20514855111165,-0.093540658904674,-0.149085193719195,-0.0248152328216101,-0.0981496879299522
"nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f3e",932,"PHB20140612","Port Hacking",-34.1192,151.2267,2014-06-13 10:48:00,2014,6,13,10:48:00,20.62,0.6003,0.5247,2624.8965,1917.6329,0.5033,0.98,46,223.2525,58.3111,3.6309,35.54,1.05,2.54,0.17,0.25,2058.23,2328.47,-999,13182067,300670,0.502,4446118,45,44.2808,11.6324,35,129.8398,36.5196,4,12.0864,8.7185,"POINT (151.22667 -34.11923)",0.203561564402667,2.27167991698839,-0.284589443486488,-0.503105305723834,-0.0553540302263802,-0.343856611861396
